title,date,author,link
Россия и США начали практическую работу по вопросу продления ДСНВ,18:24,Алёна Анисимова,https://www.pnp.ru/politics/rossiya-i-ssha-nachali-prakticheskuyu-rabotu-po-voprosu-prodleniya-dsnv.html
Фальков: студентам хотят дать выбор между очным и онлайн-обучением,18:23,Елена Ботороева,https://www.pnp.ru/social/falkov-studentam-khotyat-dat-vybor-mezhdu-ochnym-i-onlayn-obucheniem.html
Россия направит США ноту из-за распространения фейков их интернет-гигантами,18:20,Тамила Аскерова,https://www.pnp.ru/politics/eksperty-rossii-i-ssha-prorabatyvayut-vopros-vozmozhnogo-prodleniya-snv-3.html
Минюст хотят наделить правом доступа к банковской тайне,18:18,Алёна Анисимова,https://www.pnp.ru/politics/minyust-khotyat-nadelit-pravom-dostupa-k-bankovskoy-tayne.html
Проект о налоговом контроле за ценами рекомендован к принятию во втором чтении,18:15,Анна Шушкина,https://www.pnp.ru/politics/proekt-o-nalogovom-kontrole-za-cenami-rekomendovan-k-prinyatiyu-vo-vtorom-chtenii.html
В России предложили ввести единый порядок медосвидетельствования беженцев,18:12,Елена Ботороева,https://www.pnp.ru/social/v-rossii-predlozhili-vvesti-edinyy-poryadok-medosvidetelstvovaniya-bezhencev.html
Кабмин одобрил проект о правилах зачисления в вузы детей сотрудников ОВД,18:07,Тамила Аскерова,https://www.pnp.ru/politics/kabmin-odobril-proekt-o-pravilakh-zachisleniya-v-vuzy-detey-sotrudnikov-ovd.html
Думский комитет выявил свыше 60 фейков о несанкционированных акциях 23 января,17:54,Тамила Аскерова,https://www.pnp.ru/politics/dumskiy-komitet-vyyavil-svyshe-60-feykov-o-nesankcionirovannykh-akciyakh-23-yanvarya.html
В эстонском парламенте сформировали новую правящую коалицию,17:44,Юрий Виноградов,https://www.pnp.ru/politics/v-estonskom-parlamente-sformirovali-novuyu-pravyashhuyu-koaliciyu.html
Госдума 26 января рассмотрит проект о налоговом вычете за занятия спортом,17:38,Светлана Заверняева,https://www.pnp.ru/social/zhukov-26-yanvarya-gosduma-rassmotrit-proekt-o-nalogovom-vychete-za-fizkulturno-ozdorovitelnye-uslugi.html
Арбитражных управляющих привлекут к ответственности за махинации с имуществом должника,17:36,Тамила Аскерова,https://www.pnp.ru/politics/arbitrazhnykh-upravlyayushhikh-privlekut-k-otvetstvennosti-za-makhinacii-s-imushhestvom-dolzhnika.html
Володин напомнит статс-секретарям министерств о необходимости своевременно отвечать на депутатские запросы ,17:27,Ольга Шульга ,https://www.pnp.ru/social/volodin-napomnit-stats-sekretaryam-ministerstv-o-neobkhodimosti-svoevremenno-otvechat-na-deputatskie-zaprosy.html
Володин: в планах строительства нового Парламентского центра пока нет,17:17,Ольга Шульга ,https://www.pnp.ru/politics/volodin-planov-na-stroitelstvo-novogo-parlamentskogo-centra-poka-net.html
Законопроект о гаражной амнистии рассмотрят в первом чтении 26 января,17:14,Светлана Заверняева,https://www.pnp.ru/social/zakonoproekt-o-garazhnoy-amnistii-rassmotryat-v-pervom-chtenii-26-yanvarya.html
Главный спасатель Сербии умер от COVID-19,12:37,"Илья Сокольникас, Белград ",https://www.pnp.ru/politics/glava-sektora-po-chs-mvd-serbii-umer-ot-covid-19.html
В кабмине поддержали проект о защите минимального дохода от взыскания,12:28,Марьям Гулалиева,https://www.pnp.ru/social/v-kabmine-podderzhali-proekt-o-zashhite-minimalnogo-dokhoda-ot-vzyskaniya.html
Кабмин одобрил законопроект о гаражной амнистии с учётом доработки,12:27,Юлия  Тихонова ,https://www.pnp.ru/politics/kabmin-odobril-zakonoproekt-o-garazhnoy-amnistii-s-uchetom-dorabotki.html
Ещё три населённых пункта в Крыму будут получать воду из скважин,12:11,Александр  Мащенко,https://www.pnp.ru/social/eshhyo-tri-naselyonnykh-punkta-v-krymu-budut-poluchat-vodu-iz-skvazhin.html
Заявки от застройщиков на ввоз мигрантов в Россию будут принимать онлайн,12:04,Тамила Аскерова,https://www.pnp.ru/politics/zayavki-ot-zastroyshhikov-na-vvoz-migrantov-v-rossiyu-budut-prinimat-onlayn.html
В законопроекте о штрафах за незаконный сбор пожертвований учтут уловки мошенников,12:03,Евгения Филиппова,https://www.pnp.ru/politics/v-zakonoproekte-o-shtrafakh-za-nezakonnyy-sbor-pozhertvovaniy-uchtut-ulovki-moshennikov.html
Рогозин отреагировал на информацию об отстранении от лунной программы ,12:02,Алёна Анисимова,https://www.pnp.ru/politics/rogozin-otreagiroval-na-informaciyu-ob-otstranenii-ot-lunnoy-programmy.html
Кисляк рассказал о формате участия сенаторов в зимней сессии ПАСЕ,11:48,Юлия  Тихонова ,https://www.pnp.ru/politics/kislyak-pochti-vse-senatory-budut-uchastvovat-v-sessii-pase-udalenno.html
Прокуроры проверят организацию питания в школах после массовых отравлений,11:42,Марьям Гулалиева,https://www.pnp.ru/social/prokurory-proveryat-organizaciyu-pitaniya-v-shkolakh-posle-massovykh-otravleniy.html
Лаборатории по поиску утечек воды начали работать в Крыму,11:31,Александр  Мащенко,https://www.pnp.ru/social/laboratorii-po-poisku-utechek-vody-nachali-rabotat-v-krymu.html
Центризбирком доработает КОИБы перед единым днём голосования,11:19,Алёна Анисимова,https://www.pnp.ru/politics/centrizbirkom-dorabotaet-koiby-pered-edinym-dnyom-golosovaniya.html
В России впервые с ноября выявили менее 20 тысяч случаев заражения коронавирусом,11:10,Алёна Анисимова,https://www.pnp.ru/social/v-rossii-za-sutki-vyyavili-19-290-sluchaev-zarazheniya-koronavirusom.html
СМИ: в России предлагают запретить вывод денег за рубеж по исполнительным листам,11:07,Марьям Гулалиева,https://www.pnp.ru/economics/smi-v-rossii-predlagayut-zapretit-vyvod-deneg-za-rubezh-po-ispolnitelnym-listam.html
"Миллион «умных» счётчиков могут потребовать замены, пишут СМИ",10:55,Юлия  Тихонова ,https://www.pnp.ru/politics/smi-million-umnykh-schetchikov-mogut-potrebovat-zameny.html
